,Job Title,Location,Date,Link,Job Attributes,Job Description
40,"Direct Support Professional - Newton, MA", boston/cambridge/brookline ,Sep 14,https://boston.craigslist.org/gbs/npo/d/west-newton-direct-support-professional/7380292069.html,"
compensation: $13.50 per hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Description

The Direct Support Professional (Awake, Overnight, Asleep) is also responsible for ensuring a safe, therapeutic family-like environment adhering to all safety standards, Federal and State regulations, agency and corporate policies. The position is responsible to ensure that individuals we support are treated with dignity and respect. The Direct Support Professional is responsible for supporting community integration, promoting wellness and self-determination. The goal of this position is to promote the pursuit of independence and happiness for all individuals participating in our services and to contribute to a welcoming environment in the home for family members and other stakeholders. The Direct Support Professional should make every effort to promote principles of normalization and dignity and include opportunities for individuals to fully join their communities.


Available Openings: 

Monday, Tuesday, Wednesday, Friday, Saturday: 3:00pm - 11:00pm
Friday: 11:00pm - 9:00am
Saturday, Sunday: 9:00am - 11:00pm

Hourly Rate: $13:50


Key Responsibilities

As a Direct Support Professional, you will directly participate in daily routines while assisting and encouraging each person to develop their skills and be as independent as possible.  Personal routines include a variety of different activities both at home and in the community.
Assist individuals in Self-Advocacy, decision-making, and empowerment.
Participate in the development and implementation of service plans reflecting the individual’s vision, preferences, goals, lifestyles, and interests.
On a daily basis, you will be assisting with personal care, household chores, administration of medication, preparing meals, and other activities of daily living.
Assess, teach, evaluate, and supervise individual’s skills in the areas of daily living, meal planning, housekeeping, career needs, and social, recreational, and community activities.
Complete written documentation daily that reflects the individual’s progress on their goals as well as staff interventions.
Complete daily communication activities as required by the program including: day program and transportation, making communication log entries, and completing data charts, incident reports, fire drill logs, and menus as needed.
Report significant issues (health, behavioral, psychiatric) to the appropriate supervisor in a timely fashion.
Complete all training, staff meetings, and supervision sessions as required by the program, including but not limited to: First Aid, CPR, OSHA & Blood Borne Pathogen, Medication Administration, Positive Behavioral Supports, Fire Safety, and Human Rights and DPPC Training

Requirements

High school diploma (Associates degree preferred)
6 months’ relevant experience
Willingness to learn
Ability to maintain a professional relationship under all foreseen and unforeseen circumstances.
Must demonstrate initiative, creativity, be dependable, reliable and work well independently and within a team atmosphere.
Must be able to exercise independent thinking and good judgment under all circumstances.
Must be able to set goals, analyze work develop plans and utilize time effectively and efficiently.
Ability to communicate effectively both verbally and in writing.
Basic computer knowledge.
Flexibility to work throughout the division.

Physical Demands

Lifting is required. Ability to lift at least a minimum of twenty (20) pounds.
Ability to physically assist individuals in personal care
Ability to perform common household cleaning activities that involve: consistent standing, bending, twisting, pushing, pulling, and walking
Ability to drive agency vehicle

Other Requirements

Clearing of background checks as required by state and federal law.
Valid MA driver’s license (some positions require a vehicle)


BENEFITS

HopeWell offers a comprehensive total rewards package that values employee wellness, work-life balance, and continuous learning. Benefits include student loan pay-down assistance, tuition reimbursement, funding for professional development, as well as a full suite of healthcare benefits, and generous paid-time-off.    "
41,Customer Service Representative-Donor Relations,"Cambridge, MA boston/cambridge/brookline ",Sep 14,https://boston.craigslist.org/gbs/npo/d/cambridge-customer-service/7380241394.html,"
compensation: 42000

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Customer Service Representative (Donor Relations)
Development Department
Union of Concerned Scientists
Cambridge, MA
https://www.ucsusa.org/about/jobs

Do you have strong customer service skills and a way with people? Are you a great phone communicator? Do you enjoy dealing with the public, helping solve people’s problems and empowering them to effect positive changes for the planet? Come join the Membership team at the Union of Concerned Scientists. We’re looking for a Development Assistant to be the first point of contact for our members and supporters nationwide. You’ll respond to inquiries on the member phone line and public email inbox and help with the monthly and workplace giving programs. We’re looking for candidates who have good verbal and writing skills, are reliable and motivated, and interested in helping our team support UCS programs for a healthy, safe, and sustainable planet. Please apply at ucsusa.org
"
42,Older Adults: Get Paid to Help Socially Isolated Seniors,Waltham boston/cambridge/brookline ,Sep 14,https://boston.craigslist.org/gbs/npo/d/waltham-older-adults-get-paid-to-help/7380116420.html,"
compensation: $16 per hour to start

employment type: part-time

","

QR Code Link to This Post


Are you an older adult who's retired and looking for part-time flexible work to supplement your income?

Are you an older adult who enjoys engaging with people and being helpful to others?

Are you an older adult who would like to use your skills in a different line of work?

If you would like to join a company whose mission is to provide social engagement and assistance to seniors, Seniors Helping Seniors of Greater Boston & Metrowest may be the opportunity for you!

Hear it straight from our caregivers: https://www.facebook.com/watch/?v=2928045503990460

NO EXPERIENCE REQUIRED...WE TRAIN!

Though we are not a nonprofit, our unique model of peers-helping-peers provides employment for older adults who would like to help other older adults in need, by providing one-on-one non-medical services that may include:
*Companionship
*Shopping/errands
*Light housekeeping
*Transportation
*Activities
*Meal prep
*and more!

We offer:
*Above-average starting wage of $16 per hour
*Paid training for newly hired caregivers
*Caregiver referral bonuses
*Flexible schedules from 12 hours up to 30+ hours per week
*Earned sick time
*Continuing education opportunities and fun networking/social events
*An interesting and diverse client base
*A friendly group of peers to work with
*The opportunity to work for one of the top employers with the happiest employees in Massachusetts (The Boston Globe's Top Places to Work Survey: 2020, 2019, 2018).

We're actively hiring older adults who are compassionate, reliable, and flexible.
Minimum requirements:
*Older adult with 45+ years of life experience
*Availability of at least 12-15 hours per week
*Driver's license and insured auto (our clients are not accessible by public transportation)
*Cell phone
*Active email account and ability to send/receive emails
*Conversational English fluency
*Weekend availability a plus (in addition to weekdays)
*Live centrally in our Greater Boston/Metrowest service area with accessibility to multiple client locations such as: Arlington, Boston, Brighton, Brookline, Cambridge, Dedham, Jamaica Plain, Lexington, Medford, Needham, Newton, Waltham, Watertown, Wellesley, and Weston

READY TO APPLY NOW? Please click the following link: https://shsboston.clearcareonline.com/apply/

We look forward to hearing from you!

About Us:
Seniors Helping Seniors of Greater Boston & Metrowest is a unique home care agency that provides personalized care for seniors by seniors. Focusing specifically on the importance of social-emotional care and companionship, our agency carefully matches caregivers with clients in the community to help maximize social engagement, assisting with everything from light housework and shopping to daily companionship. Today, Seniors Helping Seniors of Greater Boston and Metrowest is the leading provider of peer-to-peer companion care in Massachusetts, serving over 30 towns throughout the Greater Boston and Metrowest regions.    "
43,Housing Care Coordinator,"Waltham, MA boston/cambridge/brookline ",Sep 14,https://boston.craigslist.org/gbs/npo/d/waltham-housing-care-coordinator/7380080343.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking an enthusiastic and compassionate Housing Care Coordinator to join our Housing Department. 
POSITION DESCRIPTION
The Housing Care Coordinator conducts comprehensive in-home assessments with elders, helps determine needs and eligibility for government subsidized services, creates care plans and coordinates services. The Case Manager also provides regularly scheduled office hours in assigned housing sites to provide consultation and assistance for all residents of the building. The Case Manager communicates and collaborates with housing authority staff and community professionals. 
Our ideal candidate will have a strong desire to work with seniors and individuals with disabilities, excellent organizational skills and be able manage constant change with a positive attitude.
QUALIFICATIONS
Bachelor's Degree required. Degree in Social Work, human services, nursing, psychology, sociology or related field preferred. Candidates with a degree in another discipline must demonstrate experience and/or strong interest in the field of human services via previous employment, internship, volunteer activity and/or additional studies.
Social Work license or eligibility for MA Social Work license preferred.
One year experience in human services field required.
Working with computers, entering data and running reports.
A reliable car, current driver's license and safe driving record required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Resident Services Coordinator, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Council on Aging
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1976842-143011 "
44,Elder Protective Services Social Worker,"Waltham, MA boston/cambridge/brookline ",Sep 14,https://boston.craigslist.org/gbs/npo/d/waltham-elder-protective-services/7380078823.html,"
compensation: Pays $30.77/hr. ($60k annually)

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a positive and energetic team member to join our Protective Services Department! 
Pays $30.77/hr. ($60k annually).
POSITION DESCRIPTION
As a Protective Services Social Worker you will investigate reports of abuse, neglect, financial exploitation, and self-neglect of older adults to determine if there is a reasonable cause to substantiate the report. You will respond to emergency and crisis situations, conduct assessment of capacity and functional abilities as well as arrange for the delivery of services to alleviate substantiated allegations.
You must be flexible as each day is different and one call can change all your plans. You must have excellent writing skills as there is a fair amount of documentation. Organization is key if you're going to be successful and a good sense of humor never hurts. 
QUALIFICATIONS
Master's degree in Social Work or related field with one year experience in counseling or case management; or a Bachelor's degree in Social Work or related field with two years experience in counseling or case management.
Experience with crisis intervention, elders, and/or investigations.
Ability to independently organize work, take initiative, and meet deadlines.
Applicant must have a reliable car, current driver's license, and safe driving record.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Ashland, Dover, Framingham, Holliston, Hopkinton, Natick, Sherborn, Sudbury, Wayland, Boston, Westwood, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Protective Services, PS, Crisis Intervention, Crisis, Investigator, Criminal Justice, Counseling, Abuse, Neglect
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1976838-143011 "
45,Fight the Climate Crisis! Outreach Staff Needed-  $21-$27/hr,Boston boston/cambridge/brookline ,Sep 13,https://boston.craigslist.org/gbs/npo/d/boston-fight-the-climate-crisis/7379856600.html,"
compensation: $21-27/hr

employment type: employee's choice

","

QR Code Link to This Post


Help Us Build Support for the Nation’s Leading Environmental Group! 
Greenpeace is bringing people together to protect the environment. If you want to stop plastic pollution, protect forests, expand renewable energy, or promote environmental justice, join us!  We are building support and fundraising on behalf of Greenpeace to ensure they have the resources to save our planet for future generations.

Get paid well! Staff should expect to earn $21-27/hour.  We offer overtime pay, paid training, regular raises, sick pay, healthcare for full-time staff and bonuses for friend referrals.

Stay Safe!  We have strict health and safety protocols that include a contactless approach to campaign work. We provide all of the training and Personal Protective Equipment (PPE) you will need. 

Apply here: https://www.theoutreachteam.net/interest-form-f2f/?SC=CraigslistF2F

Location: Boston, MA

We are hiring immediately, all positions are year-round with possibilities for advancement. Shifts run from 2:30pm - 10:00pm Monday-Friday with the possibility to work part-time or full-time.

Canvasser Responsibilities:
- Engage with the public in a friendly and professional manner
- Deliver a compelling campaign story, sign up members and generate donations for Greenpeace
- Participate in staff trainings to improve your outreach skills
- Strictly follow our health and safety protocols

The ideal candidate:
-Passionate about environmental issues and combating the climate crisis
-Strong communication skills; you should enjoy working with other people and be willing and excited to speak with everyone
-Hard worker who will stay motivated to engage as many people as possible
-Open to new challenges and are interested in building their campaign skills
-Culturally competent and able to respectfully engage with teammates and the community

Prior canvassing experience is a plus but not required.
Pay: Expect hourly rate - $17-$25. We offer overtime pay, paid training, regular raises, sick pay, healthcare for full-time staff and bonuses for friend referrals.

Apply here: https://www.theoutreachteam.net/interest-form-f2f/?SC=CraigslistF2F

We are committed to equity, inclusion, and anti-racism. We are an equal opportunity employer and we strongly encourage Black, indigenous, people of color, women, people with previous felony convictions, members of the LGBTQIA+ community, and others who identify with underrepresented groups to apply.
"
46,"Congregate Housing Case Manager, Full Time Days", metro west ,Sep 13,https://boston.craigslist.org/bmw/npo/d/boston-congregate-housing-case-manager/7379755390.html,"
compensation: $18.00 - $20.00 per hour

employment type: full-time

","

QR Code Link to This Post


SCHEDULE: 32 hours, Mon, Tues, Thurs and Fri 8:30a-5p

PAYS $18-$20 PER HOUR

JOB DESCRIPTION:

Congregate Housing provides comprehensive, intensive case management support to homeless and chronically homeless individuals in housing using the Housing First Model promoting long-term stability in housing and the end of homelessness in Boston. 

The Congregate Housing Case Manager works as part of an intensive case management team serving tenants who may be experiencing untreated mental illness, active drug and alcohol addiction, and other major health challenges. The Case Manager uses a Harm Reduction, Trauma Informed approach to working with participants, including the utilization of Stages of Change Theory and Motivational Interviewing techniques. The Case Manager is responsible for a specific caseload of tenants, and also for collaborating with other Congregate Housing staff on program-wide efforts to stabilize and promote the individual growth of all Congregate Housing tenants. Additional case management responsibilities include, but are not limited to: assisting tenants with all required program documentation; assisting tenants with obtaining benefits, health care, educational opportunities, employment opportunities, and legal aid; supporting the development of tenants’ activities of daily living skills and creating individual service plans with tenants, and maintaining all necessary documentation..

QUALIFICATIONS:                                                               

The Congregate Housing Case Manager must have a clear commitment to the population we serve, and be able to work as part of a team.

REQUIREMENTS:

EDUCATION/TRAINING::         

Strong written communication skills
Computer Proficiency in Microsoft Office Products
KNOWLEDGE/EXPERIENCE:

Experience working with individuals experiencing substance abuse, mental illness, trauma, homelessness and/or other complex disorders
Strong commitment to learning and using Harm Reduction and Motivational Interviewing skills in order to promote improved behavioral health among tenants
Knowledge of effective Crisis Intervention techniques and ability to respond appropriately in crisis situations
Experience working as part of a team
PHYSICAL ABILITIES/SKILLS:

Ability to access different building locations and program sites via vehicle, public transit, and by foot in varied weather conditions, including climbing several flights of stairs and lifting up to 50 pounds of weight
Ability to sit for long periods of time and use computer, calculator, fax, copier and other office equipment 
MENTAL ABILITIES/SKILLS

Ability to set limits fairly and consistently while maintaining appropriate boundaries
Excellent organizational, communication, and interpersonal skills; the ability to balance many competing demands
Ability to communicate professionally both verbally and in writing, including the ability to successfully represent the organization in various forums
Ability to juggle many competing demands, to prioritize work efficiently and effectively
Ability to take initiative, plan and work independently
Interpersonal skills, patience, persistence, tolerance, ability to engage and develop rapport with a wide range of personalities
Must have highly developed professional ethics to maintain appropriate boundaries and sets limits fairly and consistently
Contributes to the overall integration and success of the department by being a team player, accepting and offering guidance as appropriate, participating in PSI activities and trainings as requested and promoting organizational integration based on the mission, vision and values 
PREFERRED:

Bi-lingual – Spanish/English 
Undergraduate Degree in a related field (i.e. social work, psychology, education, nursing)
Experience working with chronically homeless individuals in Housing First programs
Knowledge of local care-giving and advocacy resources for people experiencing: substance abuse and dependence, mental illness, trauma histories, head injury, medical illness, physical disabilities, relationship violence, criminal and civil justice system involvement
Knowledge of government benefits systems, and Boston area service providers
Experience with HMIS 
ESSENTIAL FUNCTIONS INCLUDE BUT ARE NOT LIMITED TO: 

Actively manage a case load of formerly chronically homeless tenants in congregate housing promoting housing retention, income maximization, and greater self – determination. Provide high quality, culturally sensitive, client – centered intensive housing based case management utilizing evidence-based practices of motivational interviewing, trauma-informed care and harm reduction. Using creativity and perseverance when necessary to engage the most difficult to reach tenants. 
Assess tenants on their tenancy, substance abuse issues, mental health symptoms, legal issues, health care, employment and income, independent living skills, and community engagement using the Phases of Care (POC) Assessment Tool to guide frequency and type of case management intervention. Conduct case management in the home, in the community, or in Congregate Housing offices as POC indicates. 
Work with tenants to create client – centered, strengths – based, individual service plans (ISP), to be periodically evaluated and edited as necessary/appropriate and/or according to program and billing standards. 
Educate, coach, and reinforce activities of daily living (ADL) skills, including, but not limited to personal hygiene, budgeting, cooking and leisure time activities. Assist tenants in shopping, laundry, and other ADL as needed or requested. 
Provide strengths – based interventions with tenants experiencing psychiatric distress or other acute crisis. Develop individually based crisis intervention plans with each tenant in order to reduce the number of hospitalizations and/or police response. Intervene directly and/or cooperate with team efforts around crisis stabilization for tenants. 
Maintain accurate written records and documentation in accordance with program standards including, but not limited to ISPs, tenant charts, incident reports, detailed case notes and referrals and third party billing, when applicable. Maintain HMIS records in a timely and accurate fashion and contribute to Annual Progress Reporting when needed.   
Participate as part of the Congregate Housing Services Team, contributing to bi-weekly case conferences and collaborating with the Congregate Housing Clinician and BHCHP’s nursing and psychiatric staff when appropriate. 
Provide advocacy and brokerage services with community agencies and other available and appropriate resources, with the goal of supporting each tenant’s personal growth, enhanced independence and stability in housing. Demonstrate initiative in exploring existing and potential resources for tenants through the development of positive working relationships with service providers in the Greater Boston community. Actively participate in referrals and aftercare/discharge planning to and from treatment programs when appropriate. 
Attend regularly scheduled meetings including supervisory, case management team meetings, Congregate Housing Department meetings, PSI staff meetings, and other meetings as requested. 
Participate in required and recommended trainings to enhance case management and advocacy skills. 
Due to emergency or unforeseen program needs, staff may be temporarily or permanently reassigned to another PSI Housing program at any given time. 
Represent PSI and the Supportive Housing Department in the Housing Court system in conjunction with the Case Management Supervisors. 
Assist tenants as required for bed bug remediation as outline by PSI Bed Bug Policy.  
Follow all regulations and performance specifications as required by participating MCOs. Submit monthly billing documentation to PSI’s billing department in conjunction with the Associate Director for Congregate Housing. Work closely with the billing department to help maintain client’s enrollment in their insurance plan. 
Perform additional duties as request by the Supervisor.
 Apply at: https://www.pinestreetinn.org/careers "
47,ASSISTANT to the DIRECTOR OF GUEST SERVICES,NORTH ANDOVER northwest/merrimack ,Sep 13,https://boston.craigslist.org/nwb/npo/d/north-andover-assistant-to-the-director/7379746498.html,"
compensation: HOURLY B.O.E.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


RETREAT CENTER EMPLOYMENT/MINISTRY OPPORTUNITIES


Rolling Ridge Retreat and Conference Center in North Andover is a historic, top rated Christian retreat center, year round facility that welcomes groups and individuals for day meetings and overnight retreats. 

Rolling Ridge is offering multiple opportunities for hospitality workers to return to their passion and craft in a NEW AND DIFFERENT ENVIRONMENT than they were in prior to COVID shutdown.  Employment at Rolling Ridge offers a unique level of MINISTRY to its guests that is rarely found in today’s workforce; seeking to transform lives by connecting all people, God, and creation, at the 38 acres of beauty along the shore of Lake Cochichewick and the early 1900’s mansion that is Rolling Ridge. Join our Team Today!!

FULL TIME WEEKEND ASSISTANT TO THE DIRECTOR OF GUEST SERVICES:

This NEW AND EXCITING opportunity gives the right candidate the opportunity to assist the Director of Guest Services in ensuring all guests’ needs are met. 

The ideal candidate has a rich background in all facets of the Hospitality Industry; understanding the polish and flair that goes with greeting, serving, and catering to the needs of a guest.  The right candidate ALSO has a solid capability of administrative office work, reservations system computer literate,  internet savy,  a hospitable phone demeanor, and a strong temperament for multi-tasking. 

The position is split approximately 40% administrative, and 60% Hospitality.  The right candidate should be comfortable interchanging roles at a moments’ notice, and able to work on their feet, think on their feet, and enjoy knowing their work is as much ministry as it is employment. This position is ideal for the person who doesn't mind working most weekends, and likes to work with a team.  It's also ideal for the ex-hospitality worker who is looking for something unique and different to feed the soul.  APPLY TODAY!

Let your career transform to ministry today in one (or more) of the following positions which are available immediately.  Please reply to us with a thoughtful cover letter and resume to thestaff@Rollingridge.org.  Thank you.

Other part time opportunities include Housekeeping, Guest Service Host, and Food Service. Please Share this with your contacts to help us find the right candidate for our ministry of hospitality!    "
48,Campaign Job for 100% Renewable Energy for MA!, boston/cambridge/brookline ,Sep 11,https://boston.craigslist.org/gbs/npo/d/boston-campaign-job-for-100-renewable/7379102160.html,"
compensation: $16-$18/hr

employment type: full-time

","

QR Code Link to This Post











"
49,LIVE-IN EVENING MANAGER,Lynn north shore ,Sep 10,https://boston.craigslist.org/nos/npo/d/lynn-live-in-evening-manager/7378507220.html,"
compensation: Live-in position, free use of staff quarters, $600 monthly stipend, plus hourly.

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Join our team and work with the disabled veterans of Habitat PLUS Inc. (HP) on the North Shore. Our veterans are extremely stable and a wonderful group of men, who truly enjoy their home, through this unique supportive housing program. This is a perfect situation for a person trying to save, pay down debt, go to school or living on a fixed income.

There are two live-in managers in our home. The position that is currently open is the Evening Manager's position.

Hours are:
Tuesday 7p - 10p & asleep overnight
Wednesday 3p - 10p & asleep overnight
Thursday 7p - 10p & asleep overnight
Friday 3p - 7p (paid hourly) 7p - 10p & asleep overnight
Saturday 9a - 10p & asleep overnight
Sundays & Mondays off
(Tuesday - Saturday asleep overnights)

In exchange for the above schedule, staff receive free use of the staff quarters: a private one bedroom apartment with galley kitchen, living room & private bath, located in a historically significant Jacob Cohen Mansard Victorian home. Staff also receive a monthly utility allowance, as well as meals, as provided to the veterans, seven days a week. Staff in this position also RECEIVE A MONTHLY STIPEND OF $600.00. There is also a separate staff entrance and the residents are extremely respectful of staff privacy and space. (Veterans are not allowed in the staff quarters.)

HP is located within walking distance of several beaches, public transportation, including the MBTA commuter rail. HP is also close to several shops and many varied restaurants. This position basically covers your housing, utilities and meal costs, while also providing a monthly income. This enables the employee to go to school or work part-time, if they choose, providing that this position be considered your primary obligation. HP employees are also eligible to take advantage of the Tuition Remission program, through the MA state college system.

This job opportunity is a win, win situation. It is rewarding to give back to those that served for you, while also covering the bulk of your living expenses and earning a monthly income for part-time work. Experience in human service is preferred, but willing to train the right person and if you are a veteran, all the better. Come join our team! If interested, please respond to this ad via email and attach a resume.  No phone calls please.
"
50,Aptitude Consultant,Boston Back Bay boston/cambridge/brookline ,Sep 10,https://boston.craigslist.org/gbs/npo/d/boston-aptitude-consultant/7378406598.html,"
compensation: $54, 000 annual

employment type: full-time

","

QR Code Link to This Post


The Johnson O’Connor Research Foundation is dedicated to helping people of all ages (from high school to retirement) learn about their natural talents to discover work that is both satisfying and a natural fit. An aptitude consultant administers hands-on, timed tests and explains the results to clients to help with educational and career decisions.

The starting salary is $54,000.  We offer paid vacation, sick days, and generous full benefits (health/dental/vision insurance and a 403b retirement plan).  We are in Boston’s Back Bay neighborhood. 

Our national organization is committed to the well-being of its employees.  We support staff enjoying life outside of work.  Our hours are Monday through Friday, 8:45 am to 5:00 pm, and there is no last minute or evening/weekend work required.   All test administration must be done in person using our physical test instruments, so we are unable to offer remote work options during the training period for test administrators; subsequently, one or two days a week can be remote. Most of our clients hear about us through word-of-mouth referral and no direct sales is required.

As this is a client-facing role, proof of Covid vaccination (or valid medical or religious exemption) is required.

Who we’re looking for:

You have at minimum a bachelor’s degree. No specific major is required, but psychology, career and educational counseling, sociology, and higher education administration are a plus, as is a year or more of professional work experience.  

You are intellectually curious and enjoy learning about people and the world of work.

You enjoy communicating with a wide range of people in a patient and encouraging manner.

You are comfortable moving quickly through testing, scoring, paperwork and counseling within set timeframes.  You can take in, synthesize, and interpret information quickly.

You are conscientious, showing care for both your team members (punctual, reliable, eager to help wherever needed) and for quality of services provided (minimizing mistakes, following research protocols. presenting test results positively).

You are comfortable with a small, close-knit work environment (you would be working with the current director and one other aptitude consultant), but you will be meeting new clients nearly every day.

You are interested in staying long enough in the position to fully implement your knowledge and skills (prefer 1 year or longer).

You are motivated to take on management responsibilities. Directorship of the office is an eventual possibility for the right candidate.

Daily Responsibilities:

•	Administer aptitude tests using a standardized script and hands-on props, many of which are timed.
•	Score tests and enter information into a database quickly and accurately. Answer phone calls and emails with questions from potential clients and schedule appointments.
•	Regularly meet with clients and their family members to explain their test results.  Many clients find this knowledge to be life-changing for them!

This is primarily a testing and advising role and not a research role. Our research department hires separately for research positions. We offer full training on administration of our own proprietary battery of aptitude tests, and on interpretation of the results. You can find more information about the Foundation and aptitude testing on our website: www.jocrf.org.

If this job sounds like something you’d love to do every day, we definitely want to hear from you!

Please, NO phone calls.  Interested applicants should send a cover letter (required) and resume via this link: https://jocrf.bamboohr.com/jobs/view.php?id=50&source=aWQ9OA%3D%3D 

Johnson O'Connor Research Foundation, Inc. is an equal employment opportunity (EEO) employer dedicated to a policy of non-discrimination in employment upon any basis, including but not limited to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, or veteran status.  In addition to federal law requirements, the Foundation complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities. 

"
